"zip_code","population","income","price","crime","metro","avg_income","crime_rate","Borough","metro_convenience","security","complain"
10459,47308,551603,174,663,22,11.65982498,0.014014543,"Bronx","convenient","safe",374
10460,57311,619875,-1,671,11,10.81598646,0.011708049,"Bronx","intermediate","safe",556
10461,50502,1034941,260,439,10,20.49306958,0.008692725,"Bronx","intermediate","intermediate",402
10462,75784,1416468,160,547,10,18.69085823,0.007217882,"Bronx","intermediate","intermediate",642
10463,67970,1819861,-1,494,9,26.77447403,0.007267912,"Bronx","intermediate","intermediate",590
10464,4534,154161,339,37,0,34.00110278,0.008160565,"Bronx","inconvenient","intermediate",45
10465,42230,1038556,268,304,0,24.59284869,0.007198674,"Bronx","inconvenient","intermediate",209
10466,67813,1074029,240,681,7,15.83809889,0.010042322,"Bronx","intermediate","safe",579
10467,97060,1315911,-1,998,24,13.55770657,0.0102823,"Bronx","convenient","safe",1088
10468,76103,983160,-1,0,0,12.91880741,0,"Bronx","inconvenient","unsafe",909
10469,66631,1254721,232,474,4,18.83088953,0.007113806,"Bronx","intermediate","intermediate",376
10470,15293,326757,-1,176,4,21.36644216,0.011508533,"Bronx","intermediate","safe",228
10471,22922,1043382,-1,143,4,45.5188029,0.006238548,"Bronx","intermediate","intermediate",145
10472,66358,725597,-1,784,9,10.93458212,0.011814702,"Bronx","intermediate","safe",628
10473,58519,979219,231,612,0,16.73335156,0.010458142,"Bronx","inconvenient","safe",233
10474,12281,115960,-1,230,0,9.442227832,0.018728117,"Bronx","inconvenient","safe",151
10475,40931,934806,-1,286,0,22.838582,0.006987369,"Bronx","inconvenient","intermediate",50
11004,14016,402259,476,65,0,28.69998573,0.004637557,"Queens","inconvenient","unsafe",40
11005,1806,165894,-1,0,0,91.85714286,0,"Queens","inconvenient","unsafe",1
11101,25484,752148,-1,475,53,29.51451891,0.018639146,"Queens","convenient","safe",362
11102,34133,785433,-1,0,8,23.01095714,0,"Queens","intermediate","unsafe",208
11103,38780,851099,595,249,6,21.94685405,0.006420835,"Queens","intermediate","intermediate",265
11104,27232,682268,-1,113,10,25.05390717,0.00414953,"Queens","intermediate","unsafe",151
11105,36688,918443,516,195,4,25.03388029,0.005315089,"Queens","intermediate","unsafe",233
11106,38875,919635,589,241,6,23.65620579,0.006199357,"Queens","intermediate","unsafe",265
11201,51128,4212181,1072,854,57,82.38501408,0.016703176,"Brooklyn","convenient","safe",259
11203,76174,1292232,277,777,0,16.96421351,0.010200331,"Brooklyn","inconvenient","safe",582
11204,78134,1457111,467,297,0,18.64887245,0.003801162,"Brooklyn","inconvenient","unsafe",499
11205,40366,880093,566,395,8,21.80282911,0.009785463,"Brooklyn","intermediate","intermediate",307
11206,81677,1008639,-1,1013,22,12.34911909,0.012402512,"Brooklyn","convenient","safe",350
11207,93386,1141741,302,1380,31,12.22604031,0.014777376,"Brooklyn","convenient","safe",641
11208,94469,1139684,290,1264,15,12.06410569,0.013380051,"Brooklyn","convenient","safe",678
11209,68853,2177089,555,368,11,31.61937751,0.00534472,"Brooklyn","intermediate","unsafe",600
11210,62008,1694790,412,558,10,27.3317959,0.008998839,"Brooklyn","intermediate","intermediate",537
11211,90117,1430155,-1,1015,30,15.86998014,0.011263136,"Brooklyn","convenient","safe",363
11212,84500,1004941,270,1055,13,11.8927929,0.012485207,"Brooklyn","convenient","safe",652
11213,63767,889982,445,829,12,13.95678015,0.013000455,"Brooklyn","convenient","safe",718
11214,88630,1476012,463,446,21,16.65363872,0.005032156,"Brooklyn","convenient","unsafe",536
11215,63488,3510702,979,401,23,55.29709551,0.006316154,"Brooklyn","convenient","intermediate",332
11216,54316,924734,-1,723,0,17.02507548,0.013310995,"Brooklyn","inconvenient","safe",451
11217,35881,1614210,1008,0,26,44.98787659,0,"Brooklyn","convenient","unsafe",238
11218,75220,1439659,605,364,14,19.13931135,0.004839139,"Brooklyn","convenient","unsafe",545
11219,92221,1176800,-1,360,19,12.76065104,0.003903666,"Brooklyn","convenient","unsafe",448
11220,99598,1236294,594,628,19,12.41283962,0.006305347,"Brooklyn","convenient","intermediate",535
11221,78895,1024645,514,971,11,12.98745168,0.012307497,"Brooklyn","intermediate","safe",631
11222,36934,1169298,1013,345,11,31.65912168,0.009340987,"Brooklyn","intermediate","intermediate",202
11223,78731,1807640,529,541,18,22.95969821,0.006871499,"Brooklyn","convenient","intermediate",545
11224,47621,699393,374,652,6,14.68665085,0.013691439,"Brooklyn","intermediate","safe",172
11225,56829,1095064,588,545,14,19.2694575,0.009590174,"Brooklyn","convenient","intermediate",621
11226,101572,1586286,470,905,16,15.61735518,0.008909936,"Brooklyn","convenient","intermediate",1167
11228,41788,1029278,535,175,6,24.63094668,0.004187805,"Brooklyn","intermediate","unsafe",232
11229,80018,1788379,407,451,6,22.34970882,0.005636232,"Brooklyn","intermediate","unsafe",450
11230,86408,1998084,506,402,17,23.12383113,0.004652347,"Brooklyn","convenient","unsafe",689
11231,33336,1582663,1002,352,6,47.47609191,0.010559155,"Brooklyn","intermediate","safe",184
11232,28265,383857,633,221,5,13.58064744,0.007818857,"Brooklyn","intermediate","intermediate",197
11233,67053,914273,495,1006,15,13.63507971,0.015003057,"Brooklyn","convenient","safe",556
11234,87757,2288358,362,633,0,26.0760737,0.0072131,"Brooklyn","inconvenient","intermediate",458
11235,79132,1903926,491,502,15,24.06012738,0.006343831,"Brooklyn","convenient","intermediate",522
11236,93877,1790380,305,857,3,19.07155107,0.009128967,"Brooklyn","intermediate","intermediate",496
11237,49896,590083,-1,586,20,11.82625862,0.011744428,"Brooklyn","convenient","safe",337
11238,49262,1792263,919,567,23,36.38226219,0.011509886,"Brooklyn","convenient","safe",414
11239,13393,235674,-1,75,0,17.5968043,0.00559994,"Brooklyn","inconvenient","unsafe",22
11354,54878,953897,497,437,10,17.38213856,0.007963118,"Queens","intermediate","intermediate",263
11355,85871,1240366,483,394,0,14.44452726,0.004588278,"Queens","inconvenient","unsafe",475
11356,23438,451063,435,111,0,19.24494411,0.004735899,"Queens","inconvenient","unsafe",133
11357,39150,1409042,522,145,0,35.99085568,0.003703704,"Queens","inconvenient","unsafe",189
11358,37546,936393,474,147,0,24.93988707,0.003915197,"Queens","inconvenient","unsafe",198
11360,18884,772189,485,85,0,40.89117772,0.004501165,"Queens","inconvenient","unsafe",56
11361,28606,810753,510,155,0,28.34206111,0.005418444,"Queens","inconvenient","unsafe",134
11362,17823,604640,497,6,0,33.92470403,0.000336644,"Queens","inconvenient","unsafe",82
11363,6988,355595,544,20,0,50.88651975,0.002862049,"Queens","inconvenient","unsafe",40
11364,34555,1035265,510,125,0,29.95991897,0.003617422,"Queens","inconvenient","unsafe",125
11365,42252,1020905,484,193,0,24.16228818,0.004567831,"Queens","inconvenient","unsafe",145
11366,13532,401878,509,62,0,29.69834466,0.004581732,"Queens","inconvenient","unsafe",141
11367,41047,984217,405,178,0,23.97780593,0.004336492,"Queens","inconvenient","unsafe",137
11368,109931,1165306,486,759,13,10.60034021,0.006904331,"Queens","convenient","intermediate",602
11369,38615,542296,372,295,0,14.04366179,0.007639518,"Queens","inconvenient","intermediate",199
11370,39688,491125,-1,0,0,12.37464725,0,"Queens","inconvenient","unsafe",147
11372,66636,1274752,400,486,10,19.13007984,0.007293355,"Queens","intermediate","intermediate",300
11373,100820,1421394,445,659,19,14.09833366,0.006536402,"Queens","convenient","intermediate",505
11374,43600,1146082,452,156,6,26.2862844,0.003577982,"Queens","intermediate","unsafe",326
11375,68733,2755827,539,284,15,40.09467068,0.004131931,"Queens","convenient","unsafe",320
11377,89830,1530032,457,449,15,17.03252811,0.00499833,"Queens","convenient","unsafe",562
11378,34981,777966,427,205,0,22.23967297,0.005860324,"Queens","inconvenient","unsafe",241
11379,34821,1010389,443,138,0,29.01665662,0.003963126,"Queens","inconvenient","unsafe",215
11385,98592,1791210,383,657,13,18.16790409,0.006663827,"Queens","convenient","intermediate",700
11411,18556,491099,311,157,0,26.46577926,0.008460875,"Queens","inconvenient","intermediate",82
11412,34882,704992,273,255,0,20.21076773,0.007310361,"Queens","inconvenient","intermediate",146
11413,38912,893148,289,385,0,22.9530222,0.00989412,"Queens","inconvenient","safe",148
11414,26148,774280,297,176,4,29.61144256,0.006730916,"Queens","intermediate","intermediate",122
11415,19341,527211,390,82,4,27.25872499,0.004239698,"Queens","intermediate","unsafe",176
11416,24861,361439,333,184,2,14.53839347,0.00740115,"Queens","inconvenient","intermediate",182
11417,28967,546134,340,263,16,18.85366106,0.009079297,"Queens","convenient","intermediate",218
11418,36256,625652,331,356,11,17.25650927,0.009819064,"Queens","intermediate","intermediate",236
11419,47211,726811,323,379,8,15.39495033,0.00802779,"Queens","intermediate","intermediate",237
11420,44354,774780,333,415,0,17.46809758,0.009356541,"Queens","inconvenient","intermediate",277
11421,39127,691448,322,286,7,17.67188898,0.007309531,"Queens","intermediate","intermediate",276
11422,30425,692049,302,212,0,22.74606409,0.006967954,"Queens","inconvenient","intermediate",127
11423,29987,623483,319,241,0,20.79177644,0.008036816,"Queens","inconvenient","intermediate",152
11426,17590,504462,383,100,0,28.67890847,0.005685048,"Queens","inconvenient","unsafe",57
11427,23593,601664,369,131,0,25.50180138,0.005552494,"Queens","inconvenient","unsafe",77
11428,19168,433963,334,145,0,22.63997287,0.007564691,"Queens","inconvenient","intermediate",101
11429,25105,496960,294,167,0,19.79525991,0.006652061,"Queens","inconvenient","intermediate",84
11432,60809,1097124,410,614,1,18.04213192,0.01009719,"Queens","inconvenient","safe",296
11433,32687,481267,299,349,4,14.72349864,0.010677028,"Queens","intermediate","safe",238
11434,59129,1174304,304,633,0,19.86003484,0.010705407,"Queens","inconvenient","safe",224
11435,53687,919179,343,434,12,17.12107214,0.008083894,"Queens","convenient","intermediate",260
11436,17949,314322,335,144,0,17.51195053,0.008022731,"Queens","inconvenient","intermediate",67
11691,60035,787092,262,615,12,13.11055218,0.010244024,"Queens","convenient","safe",359
11692,18540,279923,234,177,10,15.09832794,0.009546926,"Queens","intermediate","intermediate",77
11693,11916,257586,280,126,5,21.61681772,0.010574018,"Queens","intermediate","safe",58
11694,20408,667341,364,114,9,32.6999706,0.005586045,"Queens","intermediate","unsafe",151
11697,4079,173868,-1,16,0,42.62515322,0.00392253,"Queens","inconvenient","unsafe",9
