Date,RegionID,RegionName,State,Metro,County,City,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI
2/29/2016,65793,19126,PA,Philadelphia,Philadelphia,Philadelphia,4809,140100,-0.000713267,0.006465517,0.100549882,0.031801758,0.034916176,2016-01,2016-Q1,140200,-0.000713267,2016-01
2/29/2016,76809,43725,OH,Cambridge,Guernsey,Cambridge,4810,112200,-0.005319149,-0.010582011,0.074712644,0.07569978,0.035183248,2015-08,2015-Q3,116500,-0.036909871,2015-06
2/29/2016,76571,43202,OH,Columbus,Franklin,Columbus,4811,200000,0.002004008,0.020929045,0.082837033,0.044078113,0.019361654,2016-02,2016-Q1,200000,0,2016-02
2/29/2016,78933,48051,MI,Detroit,Macomb,Chesterfield,4812,165600,0.004244997,0.014705882,0.036295369,0.082129478,-0.011016923,2005-10,2005-Q4,186300,-0.111111111,2000-11
2/29/2016,58442,1603,MA,Worcester,Worcester,Worcester,4813,162700,0.002464572,0.008054523,0.021984925,0.012237617,-0.029853535,2006-05,2006-Q2,221500,-0.265462754,2003-02
2/29/2016,66575,20716,MD,Washington,Prince Georges,Bowie,4814,268000,-0.005565863,-0.005196733,0.013999243,0.021889514,-0.02625797,2006-07,2006-Q3,359800,-0.255141745,2004-11
2/29/2016,86298,64050,MO,Kansas City,Jackson,Independence,4815,68100,-0.008733624,-0.017316017,0.020989505,-0.01514577,,2010-01,2010-Q1,90300,-0.245847176,
2/29/2016,99768,98383,WA,Bremerton,Kitsap,Silverdale,4816,306700,0.002615234,0.011543536,0.065300452,0.02310342,-0.003830659,2006-10,2006-Q4,338600,-0.094211459,2005-11
2/29/2016,71956,32351,FL,Tallahassee,Gadsden,Quincy,4817,71200,-0.015214385,-0.004195804,0.064275037,-0.022302883,-0.018594058,2006-12,2006-Q4,99700,-0.285857573,2004-09
2/29/2016,58213,1027,MA,Springfield,Hampshire,Easthampton,4818,227800,0.000439174,0.003524229,-0.009565217,0.006626655,-0.001437213,2007-10,2007-Q4,235800,-0.033927057,2005-04
2/29/2016,89841,73003,OK,Oklahoma City,Oklahoma,Edmond,4819,153500,0.001958225,0.006557377,0.002612671,0.023602967,0.01683368,2015-03,2015-Q1,153800,-0.001950585,2015-03
2/29/2016,79125,48314,MI,Detroit,Macomb,Sterling Heights,4820,214000,0.007532957,0.016144349,0.037324285,0.08006646,-0.006404048,2005-06,2005-Q2,231800,-0.076790336,2001-11
2/29/2016,77261,44647,OH,Canton,Stark,Massillon,4821,88000,0.001137656,0.009174312,0.006864989,0.009587913,-0.010300649,2006-08,2006-Q3,100900,-0.127849356,2002-08
2/29/2016,70416,29341,SC,Gaffney,Cherokee,Gaffney,4822,88800,-0.001124859,-0.007821229,0.001127396,0.015072707,0.01176252,2015-04,2015-Q2,90300,-0.016611296,2015-03
2/29/2016,71916,32305,FL,Tallahassee,Leon,Tallahassee,4823,89500,-0.001116071,-0.005555556,0.034682081,-0.021157676,-0.031451812,2007-03,2007-Q1,131500,-0.319391635,2003-12
2/29/2016,58590,2043,MA,Boston,Plymouth,Town of Hingham,4824,700700,0.008201439,0.0280223,0.069934341,0.043953998,0.005470004,2016-02,2016-Q1,700700,0,2016-02
2/29/2016,72641,33486,FL,Miami-Fort Lauderdale,Palm Beach,Boca Raton,4825,370600,0.002705628,0.017572762,0.122690094,0.080363586,-0.018985151,2006-05,2006-Q2,452800,-0.181537102,2005-04
2/29/2016,77942,46062,IN,Indianapolis,Hamilton,Noblesville,4826,188600,0.000530504,0.010176754,0.043718871,0.033308665,0.009373394,2014-03,2014-Q1,195500,-0.035294118,2013-11
2/29/2016,87236,66605,KS,Topeka,Shawnee,Topeka,4827,63600,-0.01242236,-0.023041475,-0.047904192,-0.032694993,,2008-08,2008-Q3,102800,-0.381322957,
2/29/2016,79427,48854,MI,Lansing,Ingham,Mason,4828,154400,0.001297017,0.009810334,0.035546613,0.040830582,-0.009637247,2005-07,2005-Q3,171400,-0.099183197,2002-04
2/29/2016,81306,53226,WI,Milwaukee,Milwaukee,Wauwatosa,4829,137100,-0.002183406,0.003660322,0.012555391,0.000145943,-0.018590642,2006-10,2006-Q4,172100,-0.203370134,2003-04
2/29/2016,100151,99202,WA,Spokane,Spokane,Spokane,4830,123400,0.004068348,0.01563786,0.071180556,0.020305418,0.013325441,2007-05,2007-Q2,126500,-0.024505929,2007-01
2/29/2016,64322,15801,PA,DuBois,Clearfield,Treasure Lake,4831,114400,-0.005217391,-0.018025751,0.129318855,0.038960037,,2015-12,2015-Q4,116600,-0.018867925,2015-11
2/29/2016,82296,55446,MN,Minneapolis-St Paul,Hennepin,Plymouth,4832,338200,-0.001770956,-0.005878895,-0.017431726,0.046460805,-0.002938349,2006-04,2006-Q2,349800,-0.033161807,2005-03
2/29/2016,81246,53147,WI,Whitewater,Walworth,Lake Geneva,4833,187100,0.001605996,0.009169364,0.007539041,-0.001277823,-0.003099881,2007-07,2007-Q3,218900,-0.145271814,2005-07
2/29/2016,63856,15044,PA,Pittsburgh,Allegheny,Richland Township,4834,249200,-0.000401123,-0.000401123,-0.002401922,0.034822228,0.02722435,2015-06,2015-Q2,252800,-0.014240506,2015-02
2/29/2016,72706,33603,FL,Tampa,Hillsborough,Tampa,4835,141800,0.007818053,0.02087833,0.138955823,0.09640407,-0.02395058,2006-10,2006-Q4,201900,-0.297672115,2005-02
2/29/2016,61891,10605,NY,New York,Westchester,White Plains,4836,642400,-0.000622278,0.001246883,0.011812884,0.01113459,-0.013710634,2006-06,2006-Q2,744400,-0.137023106,2004-12
2/29/2016,98298,95602,CA,Sacramento,Placer,Auburn,4837,414100,0.001693275,0.009261516,0.096663136,0.062025514,-0.023412547,2006-01,2006-Q1,526100,-0.212887284,2004-06
2/29/2016,70420,29349,SC,Spartanburg,Spartanburg,Inman,4838,137300,0.005124451,0.016284234,0.044901065,0.018297319,0.010976937,2016-02,2016-Q1,137300,0,2016-02
2/29/2016,77128,44314,OH,Akron,Summit,Akron,4839,52700,0.005725191,0.011516315,-0.013108614,-0.009943065,-0.029639606,2007-03,2007-Q1,74300,-0.290713324,1996-06
2/29/2016,97513,94022,CA,San Jose,Santa Clara,Los Altos,4840,3373300,0.003540192,0.013550868,0.134072953,0.135459118,0.05627632,2016-02,2016-Q1,3373300,0,2016-02
2/29/2016,95957,89706,NV,Carson City,Carson City,Carson City,4841,215100,0.004670715,0.021367521,0.180570801,0.067868556,-0.032073423,2006-05,2006-Q2,299900,-0.28276092,
2/29/2016,74855,38506,TN,Cookeville,Putnam,Cookeville,4842,141200,0.00141844,0.005698006,0.049814126,0.024344579,0.016232367,2016-02,2016-Q1,141200,0,2016-02
