Address,Name,CUISINE DESCRIPTION
40-45 235TH STREET 11363,wine time,American
405 WEST   44 STREET 10036,wine escape,American
4055 BROADWAY 10032,marcha cocina bar,American
407 8 AVENUE 10001,tempest bar,Irish
41 EAST   11 STREET 10003,pop pub,American
41 EAST   30 STREET 10016,wine 30,Mediterranean
410 8 AVENUE 10001,the blarney stone pub & restaurant,American
4100 EAST TREMONT AVENUE 10465,bridges bar,American
4107 99 STREET 11368,"delicias cuencanas bar-restaurant deli,","Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
4109 150 STREET 11355,paradise alley bar,American
411 11 STREET 11215,bar toto,Italian
4115 QUEENS BLVD 11104,maggie mae's,"Bottled beverages, including water, sodas, juices, etc."
4120 16 AVENUE 11204,sushi k bar,Japanese
41-26 CRESCENT STREET 11101,the baroness bar,French
413 EAST   70 STREET 10021,the allie way sports bar,American
413 EAST  241 STREET 10470,homestyle food services (st. barnabas high school),American
4139 BROADWAY 10033,el conde nuevo bar & restaurant,Spanish
414 EAST  138 STREET 10454,414 latino restaurant sports bar,Mexican
4146 54TH ST 11377,weekender billiard & bar,Asian
415 FOREST AVE 10301,afternoones restaurant & bar,American
416 BEACH  116 STREET 11694,wharf bar and grill,American
416 CHURCH AVE 11218,church cafe wine bar,Sandwiches/Salads/Mixed Buffet
41684172 BROADWAY 10033,tipico dominicano bar restaurant,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
4183 BOWNE STREET 11355,beijing style barbeque,Chinese
42 EAST   20 STREET 10003,gramercy tavern,American
42 W 48TH ST 10036,sean's bar & kitchen,American
42 WEST   44 STREET 10036,bar association of the city of ny kitchen,American
4201 CHURCH AVENUE 11203,the oval sports bar & lounge,Caribbean
4203 QUEENS BOULEVARD 11104,turkish grill restaurant & bar,Turkish
421 9 AVENUE 10001,twins pub,Irish
421 BEACH 129 STREET 11694,jamesons pub,American
421 HUDSON ST 10014,equinox printing house juice bar,"Juice, Smoothies, Fruit Salads"
4212 BROADWAY 11103,estacion  grill & bar,Spanish
4217 102 STREET 11368,la flaca coffee shop restaurant and bar,Spanish
422 AMSTERDAM AVE 10024,beer shop,Other
422 EAST    9 STREET 10009,good beer,"Bottled beverages, including water, sodas, juices, etc."
425 AMSTERDAM AVENUE 10024,mcaleer's pub,Irish
425 LAFAYETTE STREET 10003,joe's pub,American
425 LEXINGTON AVENUE 10017,simpson thacher and bartlet cafe,American
425 MAIN STREET 10044,riverwalk bar & grill express,American
425 WEST   15 STREET 10011,bar suzette creperie,French
4272 KATONAH AVENUE 10470,john mulligan's fireside pub,American
4279 KATONAH AVE 10470,just one tavern,"Bottled beverages, including water, sodas, juices, etc."
4299 KATONAH AVE 10470,behan's pub,Irish
43 MOTT STREET 10013,next bar & lounge,Chinese
43 WEST   26 STREET 10010,grey bar & restaurant,American
430 2ND AVE 10010,love cafe & bar,Eastern European
430 2ND AVE 10010,love cafe and bar,Eastern European
4302 43RD AVE 11104,the lowery bar & kitchen,Other
4306 43 STREET 11104,bar & grill 43,American
4316 QUEENS BOULEVARD 11104,malingo restaurant & bar,Japanese
4317 QUEENS BOULEVARD 11104,the gaslight bar,American
4318 BROADWAY 10033,21 bar,American
432 EAST   13 STREET 10009,key bar,American
432 FRANKLIN AVENUE 11238,tip-top bar & grill,American
43-20 31 AVENUE 11103,acapulco bar restaurant,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
4320 GREENPOINT AVENUE 11104,mi nuevo rancho bar & restaurant,Mexican
433 PARK AVENUE SOUTH 10016,desmond's tavern,American
4340 WHITE PLAINS ROAD 10466,cullen's tavern,American
4344 KATONAH AVENUE 10470,the coachman 's inn  bar,American
435 EAST  153 STREET 10455,el chicanito restaurant bar,Mexican
44 BERRY STREET 11249,the whiskey brooklyn,American
44 TRINITY PL 10006,wogies bar & grill,American
44 W 63RD ST 10023,empire hotel bar,American
440 5 AVENUE 11215,smith tavern,American
44-07 QUEENS BLVD 11104,venturo osteria &wine bar,Italian
4408 60TH ST. - STORE 11377,charlies sports bar,American
441 7 AVENUE 11215,thistlehill tavern,American
441 EAST    6 STREET 10009,cherry tavern,American
4410 AVENUE H 11234,aura bar & lounge,American
4414 8TH AVE 11220,hunter bar  888,Chinese
4429 9TH ST 11101,fushia restaurant & bar,Japanese
446 PARK PLACE 11238,half court sports bar,American
4463 BROADWAY 10040,locksmith wine & burger bar,American
4476 BROADWAY 10040,buddha beer bar,American
45 EAST   18 STREET 10003,old town bar & restaurant,Chilean
45 EAST   28 STREET 10016,the churchill tavern,English
45 ROCKEFELLER CENTER 10020,bill's bar & burger rockefeller center,American
450 W 33RD ST 10001,rga cafe & coffee bar (merill lynch),American
4502 JUNCTION BOULEVARD 11368,el coyote bar,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
4503 162 STREET 11358,blutos pub,American
4503 5 AVENUE 11220,la cucina mexican grill and cantina bar,Mexican
4506 48TH AVE 11377,the jar bar,Irish
4507 DITMARS BOULEVARD 11105,loukoumi taverna,Greek
451 MEEKER AVENUE 11222,r bar,American
451455 MORRIS PK AVE 10460,bar & restaurant el salvadoreno,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
4518 BELL BOULEVARD 11361,cue bar,American
4521 AVENUE N 11234,saigon bar and grill,Vietnamese/Cambodian/Malaysia
454 VAN BRUNT ST 11231,hometown bar-b-que,Barbecue
455 EAST  114 STREET 10029,rao's bar & grill,Italian
455 MYRTLE AVE 11205,bar bolinas,Californian
455 W 48TH ST 10036,pocket bar nyc,American
4550 46TH ST 11104,kukoo bar,Other
4558 VERNON BOULEVARD 11101,l. i. c. bar,Irish
457 39TH ST 11232,constantine restaurant and bar,American
457 THRID AVENUE 11215,bar tano,Italian
457 WEST   17 STREET 10011,artichoke basille's pizza & bar,Pizza/Italian
46 BEDFORD STREET 10014,the village tavern,American
460 W 34TH ST 10001,rocky's bar & restaurant,Pizza/Italian
4602 SKILLMAN AVENUE 11104,claret wine bar,American
4612 GREENPOINT AVE 11104,el potrero sport bar,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
4619 30 AVENUE 11103,dillingers pub & grill,American
4620 5 AVENUE 11220,fuego royal restaurant bar,Mexican
4640 3 AVENUE 10458,fiesta cafe bar,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
4642 VERNON BOULEVARD 11101,alobar restaurant,American
4653 WHITE PLAINS RD 10470,oasis restaurant & bar,American
47 EAST   29 STREET 10016,tavern 29,American
47 EAST HOUSTON STREET 10012,botanica bar,American
47 W 55TH ST 10019,akbar palace,Indian
4706 CHURCH AVENUE 11203,the hills restaurant and bar,Caribbean
4714 GREENPOINT AVENUE 11104,paddy duggans pub,"Bottled beverages, including water, sodas, juices, etc."
472 KINGS HIGHWAY 11223,tijuana sports bar,American
4720 BELL BOULEVARD 11361,laterna taverna,Greek
4720 CENTER BLVD 11109,blvd wine bar,American
4722 30 AVENUE 11103,shillelagh tavern,American
4734 VERNON BLVD 11101,gizi  wine cheese and  chocolate,American
4740 BROADWAY 10040,tryon public house,American
4746 11TH ST 11101,jora restaurant and bar,Peruvian
477 AMSTERDAM AVENUE 10024,hi life bar & grill,American
48 WYCKOFF AVENUE 11237,the owl juice pub,"Juice, Smoothies, Fruit Salads"
480 WEST   42 STREET 10036,signature cafe and bar,American
482 COURT STREET 11231,mini bar,American
483 39 STREET 11232,bar 483,American
4892 BROADWAY 10034,inwood beer garden & bistro,American
49 ANN STREET 10038,w xyz bar,Other
491 ATLANTIC AVENUE 11217,la flor del paraiso bar & restaurant,Mexican
4910 3 AVENUE 11220,juquilita bar,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
4910 SKILLMAN AVE 11377,the globe tavern,Irish
492 5TH AVE 11215,la royale beer burger house,Mediterranean
492 GRAND ST 11211,abba bar and grill,Tapas
4922 FORT HAMILTON PKWY 11219,health addict grill and juice bar,Mediterranean
493 3 AVENUE 10016,mercury bar,American
4930 20TH AVE 11204,m and m okun juice bar,"Juice, Smoothies, Fruit Salads"
4957 BROADWAY 10034,inwood local wine bar & beer garden,American
497 3RD AVE 10016,bar rua,Irish
497 DEKALB AVE 11205,brooklyn nights bar and grill,Other
497 GREENE AVE 11216,captain dan's good time tavern,American
50 HENRY STREET 11201,brooklyn heights wine bar,American
50 HUDSON ST 10013,bar cyrk nyc,American
50 PARKSIDE AVENUE 11226,parade grounds snack bar,American
500 MORRIS PARK AVE 10460,el rinconsito sport bar & restaurant,Spanish
5002 VERNON BOULEVARD 11101,p. j. leahy's bar & grill,American
5004 VERNON BOULEVARD 11101,domaine wine bar,French
5009 BROADWAY 10034,liffy ii bar,Irish
501 LEXINGTON AVENUE 10017,lily's bar @ roger smith hotel,American
502 6 AVENUE 10011,bar six,French
5025 BROADWAY 10034,rebounds sports burger bar,American
503 EAST   12 STREET 10009,double wide bar,American
505 3 AVENUE 10016,cinema cafe & bar,American
505 WEST   37 STREET 10018,clyde frazier's wine and dine,American
506 9TH AVE 10018,bar nine,Other
5060 BROADWAY 10034,brown sugar bar & restaurant,Spanish
508 9 AVENUE 10018,scallywag's irish pub & rest,Irish
51 EAST HOUSTON STREET 10012,milano's bar,American
510 EAST   11 STREET 10009,510 11st bar,American
511 AMSTERDAM AVE 10024,e's bar,American
513 CONEY ISLAND AVENUE 11218,cancun bar,Spanish
515 3 AVENUE 10016,bar 515,American
517 E 180TH ST 10457,dary's restaurant & bar,Spanish
519 2 AVENUE 10016,paddy reilly's bar,"Bottled beverages, including water, sodas, juices, etc."
52 8 AVENUE 10014,art bar,American
52 IRVING PLACE 10003,casa mono/bar jamon (next door),Tapas
520 8 AVENUE 10018,houndstooth pub,American
520 COURT ST 11231,travel bar,American
520 EAST    6 STREET 10009,josie's bar,American
520 HENRY STREET 11231,bar bruno,Mexican
522 CITY ISLAND AVE 10464,fella's bar,American
523 3RD AVENUE 10016,teds corner tavern,Greek
523 GREENWICH ST 10013,bar hugo,American
524 PORT RICHMOND AVENUE 10302,denino's pizzeria tavern,Pizza/Italian
5275 65TH PL 11378,slide bar-b-q,American
53 IRVING PLACE 10003,pierre loti cafe wine bar,Tapas
53 WEST   72 STREET 10023,the dakota bar,American
53 WESTCHESTER SQ 10461,remy 10608,"Bottled beverages, including water, sodas, juices, etc."
530 2 AVENUE 10016,vanguard wine bar,American
531 EAST    5 STREET 10009,ace bar,American
532 9 AVENUE 10018,holland bar,American
5322 ROOSEVELT AVENUE 11377,cascada restaurant and bar,Peruvian
5323 ROOSEVELT AVENUE 11377,tres coronas bar,American
533 ATLANTIC AVE 11217,st. gambrinus beer shoppe,American
533 GRAND STREET 11211,le barricou,French
536 DRIGGS AVENUE 11211,the abbey,"Bottled beverages, including water, sodas, juices, etc."
537 51ST AVE 11101,beer closet,Other
537 EAST  183 STREET 10458,rb bar,"Bottled beverages, including water, sodas, juices, etc."
5373 65 PLACE 11378,glen patrick's pub,American
54 JAY STREET 11201,olympia wine bar,American
54 PEARL STREET 10004,fraunces tavern,American
54 STONE STREET 10004,adrienne's pizza bar,Italian
54 WATTS STREET 10013,artifakt bar,American
54 WEST   31 STREET 10001,o'reilly's pub,Irish
5419 CHURCH AVE 11203,klassix restaurant & bar,Caribbean
5420 FLUSHING AVENUE 11378,d'oasis bar restaurant,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
5422 ROOSEVELT AVENUE 11377,maguire's public house,Irish
543 3 AVENUE 11215,lowlands bar,American
547 LENOX AVE 10037,harlem barbq,Barbecue
55 CHRISTOPHER STREET 10014,55 bar,American
551 5 AVENUE 10176,marlin bar at tommy bahama and tommy bahama restaurant and b,Caribbean
5511 AVENUE N 11234,frank's tavern,American
552 GRANDVIEW AVENUE 11385,windjammers bar,American
557 MANHATTAN AVENUE 11222,bar matchless,American
558 11TH AVE 10036,la vela dining and bar,Italian
558560 RICHMOND ROAD 10304,el pollo restaurant and bar,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
559 GRAND STREET 11211,ontario bar,American
56 IRVING PLACE 10003,cibar - lady mendl's tea salon,American
562 GRAND STREET 11211,desy's clam bar restaurant,Italian
562 HALSEY ST 11233,stuy bar,Caribbean
565 VANDERBILT AVE 11238,bar chuko,Japanese
566 E 187TH ST 10458,champs bar & grill,Italian
5670 MOSHOLU AVENUE 10471,frankie's tavern,American
568 5 AVENUE 11215,black horse pub,American
569 LINCOLN PL 11238,chisai sushi bar,Other
57 E 57TH ST 10022,the bar/four seasons hotel,American
57 GROVE STREET 10014,arthur's tavern,American
570 10TH AVE 10036,social terrace,"Bottled beverages, including water, sodas, juices, etc."
5722 CLARENDON ROAD 11203,yolie's bar & restaurant,Creole
5724 ROOSEVELT AVE 11377,donovan's pub,American
574 9 AVENUE 10036,dave's tavern,American
5757 BROADWAY 10463,madden's uptown bar & grill,American
5757 BROADWAY 10463,the bridge tavern,American
576 SOUTHERN BOULEVARD 10455,el porton bar & mexican restaurant,Mexican
577 5 AVENUE 11215,buttermilk bar,American
5788 MOSHOLU AVENUE 10471,the barbecue pit,Barbecue
579 MYRTLE AVE 11205,moot bar,American
58 5 AVENUE 11217,uncle barry's,American
58 BLEECKER STREET 10012,bleecker street bar,American
583 ARGYLE ROAD 11230,oxcart tavern,American
5834 AMBOY ROAD 10309,cucumber sushi & salad bar,Japanese
585 EAST  189 STREET 10458,howl at the moon bar & grill,American
585 FOREST AVENUE 10310,the burrito bar restaurant,Mexican
586 W 207TH ST 10034,rush tapas bar,"Bottled beverages, including water, sodas, juices, etc."
587 3 AVENUE 10016,wharf bar & grill,American
587 5 AVENUE 11215,grill's delight & juice bar,American
588 GRAND STREET 11211,huckleberry bar,American
589 11 AVENUE 10036,mcquaids public house,American
589 NEW LOTS AVE 11207,jus chill bar & grill,Caribbean
59 CANAL STREET 10002,upstairs  bar,Asian
59 EAST   59 STREET 10022,59e59 bar,American
590 MADISON AVENUE 10022,obika mozzarella bar,Italian
5913 FOSTER AVENUE 11234,fish eye bar & grill,Seafood
5930 GRAND AVE 11378,anchor inn,"Bottled beverages, including water, sodas, juices, etc."
596 10 AVENUE 10036,mr. biggs bar and grill,American
597 MANHATTAN AVENUE 11222,no name bar,"Bottled beverages, including water, sodas, juices, etc."
597 WEST 207 STREET 10034,guadalupe bar and grill,Mexican
599603 BUSHWICK AVE 11206,silent barn,Armenian
6 COLUMBUS CIRCLE 10019,blue ribbon sushi bar & grill,Japanese
6 COLUMBUS CIRCLE 10019,blue ribbon sushi bar & grill roof deck,Japanese
6 ST MARKS PLACE 10003,st marks karaoke,"Bottled beverages, including water, sodas, juices, etc."
6 STONE STREET 10004,murphy's tavern,American
6 WEST 24 STREET 10010,bo's kitchen & bar room,American
6 YORK STREET 10013,aoa bar & grill,American
60 EAST   54 STREET 10022,monkey bar,American
60 HANCOCK STREET 10305,lee's tavern,American
60 SOUTH    2 STREET 11249,crown victoria bar,American
600 WEST   57 STREET 10019,the green door,"Bottled beverages, including water, sodas, juices, etc."
6001 70 AVENUE 11385,cozy corner bar & restaurant,American
6004 8 AVENUE 11220,soccer tavern,Irish
603 SENECA AVENUE 11385,seneca fiesta coffee bar,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
604 UNION STREET 11215,dinosaur bar-b-que,American
6054 FRESH POND ROAD 11378,t.j.'s sports bar,American
607 WEST  116 STREET 10027,hewitt dining hall barnard college cafeteria,American
61 2 AVENUE 10003,dempsey's pub,Irish
610 E 183RD ST 10458,la torre restaurant & bar,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
610 EXTERIOR ST 10451,marisco centro seafood restaurant  & bar,Seafood
611 9 AVENUE 10036,dalton's bar & grill,American
611 HUDSON ST 10014,bar bolonat,Mediterranean
6115 BROADWAY 10471,gleeson's sports bar,American
6161 STRICKLAND AVENUE 11234,harbor fitness juice bar,American
6161 STRICKLAND AVENUE 11234,strike 10 lanes (sports bar),American
618 WEST   46 STREET 10036,pacha,"Bottled beverages, including water, sodas, juices, etc."
62 7 AVENUE 11217,santa fe grill & bar,Tex-Mex
62 COURT STREET 11201,o'keefes bar & grill,American
620 ATLANTIC AVENUE 11217,1876/beers of brooklyn,"Bottled beverages, including water, sodas, juices, etc."
620 ATLANTIC AVENUE 11217,billboard lounge,"Bottled beverages, including water, sodas, juices, etc."
620 ATLANTIC AVENUE 11217,corcoran lounge,"Bottled beverages, including water, sodas, juices, etc."
620 ATLANTIC AVENUE 11217,taste ny,"Bottled beverages, including water, sodas, juices, etc."
620 ATLANTIC AVENUE 11217,press dining & beer room,American
620 ATLANTIC AVENUE 11217,lower suites stoli bar south club lounge,American
620 ATLANTIC AVENUE 11217,40/40 club bar,American
620 ATLANTIC AVENUE 11217,north suite stoli bar,American
620 ATLANTIC AVENUE 11217,upper south suite stoli bar,American
620 MANIDA STREET 10474,hunts point juice bar & deli,Spanish
620 VANDERBILT AVENUE 11238,milk bar,American
6201 5 AVENUE 11220,feeney's pub,American
6210 39 AVENUE 11377,natalia bar,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
6210 WOODHAVEN BOULEVARD 11374,nicole kelly pub,American
6236 FOREST AVENUE 11385,piekielko grill bar,Polish
626 11 AVENUE 10036,landmark tavern,Irish
627 5 AVENUE 11215,freddy's bar,American
627 9 AVENUE 10036,rudy's bar & grill,American
629 2ND AVE 10016,garlic pizza bar,Pizza/Italian
629 CRESCENT AVE 10458,shila bar & wine,American
629 VANDERBILT AVENUE 11238,soda bar,American
63 BEDFORD STREET 10014,snack taverna,Greek
63 GANSEVOORT STREET 10014,bar nana,Armenian
63 WEST 38TH STREET 10018,refinery lobby bar,American
631 5TH AVE 11215,el nopal restaurant & juice bar,Other
6314 ROOSEVELT AVENUE 11377,bum bum bar,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
6323 AMBOY ROAD 10309,hot shotz sports bar i,American
6326 AVENUE N 11234,bill's bar,American
6328 WOODHAVEN BOULEVARD 11374,bridies bar and grill,American
633 GRAND STREET 11211,lady jay's,"Bottled beverages, including water, sodas, juices, etc."
636 HUDSON STREET 10014,hudson bar and books,American
637 10 AVENUE 10036,the pony bar,American
639 10TH AVE 10036,kiabacca pizza and beer,American
639 DRIGGS AVE 11211,sort of wine bar,Tapas
64 EAST  183 STREET 10453,tropical bar restaurant,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
6408 11 AVENUE 11219,mama rao's   restaurant & bar,Italian
641618 FRESH POND ROAD 11385,glenlo tavern,American
6419 39 AVENUE 11377,santa  maria bar,Spanish
643 BROADWAY 10012,bar fish bistro,American
6431 COOPER AVENUE 11385,tee dee's tavern,Irish
6463 DRY HARBOR RD 11379,john's bar,American
647 5TH AVE 11215,lopez cafe barista,Mexican
647 GRAND STREET 11211,the grand bar and grill,American
648 FRANKLIN AVE 11238,kelso bistro bar & restaurant,Spanish
65 2 AVENUE 10003,wine bar,Mediterranean
65 4 AVENUE 11217,the cherry tree bar/ south brooklyn pizza,American
65 WEST   55 STREET 10019,cassidy's pub,Irish
652 FRANKLIN AVENUE 11238,imperial biker bar,American
658 NOSTRAND AVE 11216,nostrand avenue pub,American
66 HICKS STREET 11201,jack the horse tavern,American
660 FULTON STREET 11217,frank's lounge & bar,American
660 MADISON AVENUE 10065,genes @ barneys,American
660 MADISON AVENUE 10065,fred's at barney's,Italian
664 MANHATTAN AVE 11222,664 wine & dine,American
6648 MYRTLE AVE 11385,k & a bar,American
666 SENECA AVE 11385,paraiso zona vip restaurant bar,Spanish
67 SOUTH    6 STREET 11249,bia bar & grill,Vietnamese/Cambodian/Malaysia
6701 FOREST AVE 11385,victor bar and restaurant,Other
671 WASHINGTON AVENUE 11238,janelle's caribbean american cuisine & bar,Caribbean
6732 METROPOLITAN AVE 11379,locals bar,American
675 9TH AVE 10036,bar catalina,Mediterranean
675A SENECA AVE 11385,cascada  cafe,"Bottled beverages, including water, sodas, juices, etc."
678 WOODWARD AVENUE 11385,paradise bar,American
679 RIVERSIDE DR 10031,snack bar,American
68 JAY STREET 11201,68 jay street bar,American
686 6 AVENUE 11215,toby's public house,Pizza
6869 FRESH POND RD 11385,fresh pond tavern,American
689 6 AVENUE 11215,brooklyn pub,American
6908 MYRTLE AVENUE 11385,courtside lounge sports bar,American
6908 ROOSEVELT AVENUE 11377,scorpion bar,Spanish
6912 AUSTIN ST 11375,the old siam restaurant and bar,Thai
692 3 AVENUE 10017,muldoons bar,Irish
693 9TH AVE 10036,casa agave mexican bar & grill,Mexican
6944 MAIN ST 11367,bedford kitchen & wine bar,American
697 10 AVENUE 10036,hardware bar,American
7 AVENUE A 10009,the library,"Bottled beverages, including water, sodas, juices, etc."
7 EAST 36 STREET 10016,galway pub,Irish
70 PARK AVENUE 10016,silver leaf tavern,American
700 3 AVENUE 10017,juice bar plus,"Juice, Smoothies, Fruit Salads"
7001 AMBOY ROAD 10307,w's bar & restaurant,American
7004 ROOSEVELT AVE 11372,el palenque sport bar,Spanish
7009 AUSTIN STREET 11375,agora taverna,Greek
701 8TH AVE 10036,smith's hell's kitchen bar & restaurant,American
7013 AUSTIN STREET 11375,ripe juice bar & grill,American
7026 88 STREET 11385,yer man's irish pub,Irish
7028 AUSTIN ST 11375,austin public,Irish
706 MANHATTAN AVE 11222,lake street bar,American
706 WASHINGTON AVENUE 11238,706 bar,American
7072 NORTH    6 STREET 11211,black bear bar,American
708 5 AVENUE 11215,mary's bar,American
708 W 177TH ST 10033,kazza wine bar,Tapas
709 8 AVENUE 10036,lybane bar restaurant,Moroccan
71 LAFAYETTE AVENUE 11217,mullanes bar & grill,American
71 WEST   55 STREET 10019,whiskey trader,American
7104 35 AVENUE 11372,legends bar & grill,American
713 8TH AVENUE 10036,il forno/iron bar,Pizza/Italian
7132 MAIN ST 11367,sandwich bar,Sandwiches
714 11 AVENUE 10019,american retro bar & grill,American
716 BURKE AVENUE 10467,firozas roti bar,Caribbean
717 8 AVENUE 10036,chicken bar,Chicken
718 5 AVENUE 11215,bar 718,"Bottled beverages, including water, sodas, juices, etc."
72 E 7TH ST 10003,agavi organic juice bar,"Juice, Smoothies, Fruit Salads"
72 EAST  161 STREET 10451,yankee tavern,American
7215 5 AVENUE 11209,pc's bar and grill,American
7217 8 AVENUE 11228,the purple rose bar,"Bottled beverages, including water, sodas, juices, etc."
725 5 AVENUE 10022,trump bar,American
726 ASTOR AVENUE 10467,zymi bar & grill,American
729 3RD AVE 10017,the harp bar,American
73 ATLANTIC AVENUE 11201,montero bar & grill,American
73 EAST    7 STREET 10003,big bar,American
73 JAY STREET 11201,pedro's mexican bar & restaurant,Mexican
730 CLASSON AVE 11238,covenhoven,"Bottled beverages, including water, sodas, juices, etc."
7302 COOPER AVENUE 11385,the assembly bar,American
7311 METROPOLITAN AVENUE 11379,milan sports bar,Italian
7313 METROPOLITAN AVENUE 11379,pat's sports bar,American
7316 3 AVENUE 11209,longbow pub and pantry,Irish
732 AMSTERDAM AVENUE 10025,dive bar,American
735 CASTLETON AVENUE 10310,randall manor tavern,American
737 9 AVENUE 10019,molloy's irish pub,Irish
737 THROGS NECK EXPRESSWAY 10465,villa barone manor,American
738 10 AVENUE 10019,1 2 3 burger shot beer,American
739 FRANKLIN AVENUE 11238,739 franklin bar & lounge,Caribbean
741 ST NICHOLAS AVENUE 10031,texas star snack bar,American
745 39 STREET 11232,rancho luna bar,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
747 FOREST AVE 10310,randazzo's famous clam bar,Seafood
75 9th AVE 10011,corkbuzz winebar chelsea market,American
75 INNIS STREET 10302,lacey's bridge tavern,American
75 RICHMOND TERRACE 10301,right field beer express,"Bottled beverages, including water, sodas, juices, etc."
75 RICHMOND TERRACE 10301,the irishman's bar b q,American
750 11 AVENUE 10019,il baretto,Italian
750 CLARENCE AVENUE 10465,white cross fishing club bar & grill,American
7515 BROADWAY 11373,alfonso's bar,"Bottled beverages, including water, sodas, juices, etc."
7518 ROOSEVELT AVENUE 11372,cafe 75 bar,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
7525 5 AVENUE 11209,bean post pub,American
7532 BROADWAY 11373,city snooker pool house,"Bottled beverages, including water, sodas, juices, etc."
758 5 AVENUE 11232,x stasy bar & lounge,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
758 5TH AVE 11232,ecstasy bar and lounge,Mexican
76 4 AVENUE 11217,fourth avenue pub,American
761 NOSTRAND AVENUE 11216,q's tavern,Caribbean
763 61ST ST 11220,sweet bar-b-q,Chinese
768 9 AVENUE 10019,mccoy's pub,Irish
768 FIFTH AVE 10019,champagne bar and rose club,American
768 MADISON AVENUE 10065,bar italia,Italian
769 METROPOLITAN AVENUE 11211,harefield road pub,American
77 FULTON STREET 10038,tj byrne's bar,Irish
7702 101 AVENUE 11416,exotic zone bar & lounge,American
775 FRANKLIN AVE 11238,bagel pub,American
776 9 AVENUE 10019,renaissance restaurant bar and garden diner,American
777 8TH AVE 10036,777 theater bar,American
78 READE ST 10007,church publick,American
78 SOUTH STREET 10038,cones cafe and watermark bar & lounge,American
78 W 131ST ST 10037,strength organic juice bar,"Juice, Smoothies, Fruit Salads"
780 3 AVENUE 10017,aperitivo pizza bar,Pizza
7801 ROOSEVELT AVENUE 11372,amor karaoke & bar,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
7807 ROOSEVELT AVENUE 11372,la escuelita nueva bar lounge,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
7810 5TH AVE 11209,chill bar & hookah lounge,Other
7811 ROOSEVELT AVENUE 11372,friend's tavern,"Bottled beverages, including water, sodas, juices, etc."
783 8 AVENUE 10036,latitude bar & grill,American
785 9 AVENUE 10019,brickyard gastro pub,American
7880 EAST    4 STREET 10003,stillwater bar & grill,American
79 BAXTER STREET 10013,whiskey tavern,American
79 E 7TH ST 10003,blue & gold bar,American
79 MACDOUGAL STREET 10012,mermaid oyster bar,Seafood
790 E 163RD ST 10456,johnson bar-b-q,Soul Food
791 WASHINGTON AVENUE 11238,bar corvo,American
7911 NORTHERN BLVD 11372,los toritos bar restaurant,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
7912 THIRD AVENUE 11209,j.j. bubbles,"Bottled beverages, including water, sodas, juices, etc."
7915 ROOSEVELT AVENUE 11372,true colors bar,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
7919 JAMAICA AVENUE 11421,mike's pub,American
793 FLUSHING AVENUE 11206,new golden house,"Bottled beverages, including water, sodas, juices, etc."
796A FRANKLIN AVE 11238,el barrio burritos,Mexican
8 EAST   36 STREET 10016,slattery's midtown pub,American
8 VANDUZER STREET 10301,poco loco bar,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
8 WEST   38 STREET 10018,blaggard's pub,Irish
80 LAFAYETTE AVENUE 11217,mo's bar,Other
80 NASSAU STREET 10038,stamina grill & juice bar,American
80 ST MARKS PLACE 10003,william barnacle,American
80 WYTHE AVENUE 11249,wythe hotel bar,Other
800 E 149TH ST 10455,ivy juice bar,"Juice, Smoothies, Fruit Salads"
800 EAST  225 STREET 10466,blue horizon pub,Caribbean
8004 ROOSEVELT AVENUE 11372,el canelazo bar restaurant,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
8015 NORTHERN BOULEVARD 11372,lenos bar cafe,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
8016 COOPER AVENUE 11385,chili's grill & bar,American
802 CATON AVENUE 11218,shenanigans pub,American
807 9TH AVE 10019,bar 9,American
81 HUDSON STREET 10013,puffy's tavern,American
81 UNIVERSITY PLACE 10003,village taverna greek grill,Greek
810 STUYVESANT STREET 10003,panya/the barrel,Japanese
8101 NORTHERN BLVD 11372,sal restaurant bar & lounge,Spanish
