Address,Name,CUISINE DESCRIPTION
132 FREEMONT AVENUE 10306,the grant city tavern,American
1320 E GUN HILL RD 10469,876 bar lounge,American
133 E 45TH ST 10017,fuel grill & juice bar,"Juice, Smoothies, Fruit Salads"
133 IRVING AVENUE 11237,ivy star bar & restaurant,Mexican
133 W 29TH ST 10001,wine disciples enoteca,Italian
13316 39 AVENUE 11354,blackout lounge,"Bottled beverages, including water, sodas, juices, etc."
13342 37 AVENUE 11354,kissa bar,American
133-44 37TH AVENUE 11354,yu sushi bar,Japanese
13345 ROOSEVELT AVENUE 11354,roosevelt sports bar,American
13348 37 AVENUE 11354,china bar/sabu sabu oyster bar,Asian
1335 AVENUE OF AMERICAS 10019,minus5 ice bar,"Bottled beverages, including water, sodas, juices, etc."
1336 BUSHWICK AVE 11207,andalucia bar & lounge,Italian
134 KINGSLAND AVENUE 11222,one stop beer shop,American
134 WEST   29 STREET 10001,pioneers bar & lounge,American
13401 LIBERTY AVENUE 11419,the ranch restaurant & bar of guyana,Caribbean
13406 GUY R BREWER BLVD 11434,peru rotisserie barbeque chicken and pizza,American
13415 20TH AVE 11356,buffalo wild wings grill & bar,Chicken
135 EAST  149 STREET 10451,glacken bar,American
135 FLAGG PLACE 10304,richmond county country club - pool snack bar,American
135 READE STREET 10013,reade street pub & kitchen,American
135 W 30TH ST 10001,dewey's pub,American
135 WEST BROADWAY 10013,tiny's and the bar upstairs,American
1354 EDWARD L GRANT HIGHWAY 10452,emergency snack bar,Spanish
13613 FARMERS BLVD 11434,springfield & la bari pizzeria,Pizza
13617 41ST AVE 11355,lcle bar,Chinese
137 EAST   45 STREET 10017,thai grill sushi bar,Thai
137 SCHENECTADY AVENUE 11213,new heights bar and restaurant,American
1370 ROCKAWAY PKWY 11236,bamboo tavern,American
137-08 REDDING STREET 11417,days inn/the zone bar & restaurant,American
13709 CROSSBAY BLVD 11417,c j's bar & lounge,American
1372 YORK AVENUE 10021,tanoshi sushi saki bar,Japanese
1373 FIRST AVENUE 10021,banshee pub,Irish
138 EAST   34 STREET 10016,v {iv} thai restaurant & bar,Thai
1380 BRONX RIVER AVE 10472,h. j. m deli,"Bottled beverages, including water, sodas, juices, etc."
139 NORTH    6 STREET 11249,surf bar,Seafood
139 W 32ND ST 10001,bally total fitness juice bar,"Juice, Smoothies, Fruit Salads"
1390 SAINT NICHOLAS AVE 10033,south beach restaurant & bar,Spanish
13920 243RD ST 11422,g's restaurant & bar,Caribbean
13931 JAMAICA AVE 11435,el mezcal bar & grill,Mexican
13937 JAMAICA AVENUE 11435,sonrisa bar,American
1394 THIRD AVENUE 10075,luke's bar & grill,American
14 EAST   23 STREET 10010,live bait bar & restaurant,Seafood
14 EAST   47 STREET 10017,connolly's pub,Irish
14 WEST   49 STREET 10020,morrell wine bar & cafe,American
