"","zipcode","value"
"332","11224",20569.9563330094
"333","11224.0",29997.2290009606
"334","11225",24207.8246956929
"335","11225.0",28849.1886157529
"336","11226",22419.6584633584
"337","11226.0",28948.6184908217
"338","11228",18722.6070761638
"339","11228.0",30446.8402916205
"340","11229",16115.5450697085
"341","11229.0",31311.9238036099
"342","11230",18792.3808508311
"343","11230.0",30336.4240681844
"344","11231",15920.1298751403
"345","11231.0",34248.4914489112
"346","11232",22256.0041439335
"347","11232.0",29829.9955744823
"348","11233",23064.7797482749
"349","11233.0",35834.6338534894
"350","11234",14208.4653579364
"351","11234.0",23257.2074744463
"352","11235",19283.7439632751
"353","11235.0",21022.7126814543
"354","11236",16768.0567328156
"355","11236.0",26319.8559079062
"356","11237",20859.4374034977
"357","11237.0",27457.4914745894
"358","11238",18128.7658749168
"359","11238.0",31389.6453893139
"360","11239",19351.8316666667
"361","11239.0",34905.191025641
"362","11241",5263.18333333333
"363","11241.0",22283
"364","11242.0",11149.8583333333
"365","11249",16219.2232364127
"366","11249.0",28726.0073705808
"367","11251",21.0083333333333
"368","11251.0",6.66666666666667
"369","11343.0",1452.31666666667
"370","11345",22345.4833333333
"371","11354",16518.9870071685
"372","11354.0",36004.0074805879
"373","11355",20173.350202604
"374","11355.0",32475.9495021805
"375","11356",12948.5272919979
"376","11356.0",20775.0339952719
"377","11357",12044.2810177848
"378","11357.0",30393.1652004582
"379","11358",17847.5915159345
"380","11358.0",24022.1943931159
"381","11359",5178.31666666667
"382","11359.0",1673
"383","11360",14005.4208459214
"384","11360.0",38602.893081761
"385","11361",17689.1857571858
"386","11361.0",34839.4294205496
"387","11362",16472.2764705882
"388","11362.0",21149.0546258503
"389","11363",13557.0629585327
"390","11363.0",41361.0940444444
"391","11364",20098.2851228389
"392","11364.0",30572.9831532613
"393","11365",14170.3132814123
"394","11365.0",29498.4706053068
"395","11366",9926.92028327833
"396","11366.0",12450.0134736065
"397","11367",14949.7660848262
"398","11367.0",24570.3085691824
"399","11368",15686.1518937226
"400","11368.0",28404.2495025852
"401","11369",12865.1351397011
"402","11369.0",23704.7778675905
"403","11370",18183.8894388328
"404","11370.0",30864.1653371711
"405","11371",375.275
"406","11372",21469.3906464805
"407","11372.0",31480.5322522523
"408","11373",21618.262853598
"409","11373.0",30864.650841459
"410","11374",13178.3611453268
"411","11374.0",22594.8171715159
"412","11375",12594.8126420975
"413","11375.0",22419.6465673655
"414","11377",17222.3526030429
"415","11377.0",21401.7820939895
"416","11378",12644.9860980454
"417","11378.0",23060.1971094191
"418","11379",10893.7135768581
"419","11379.0",-17761.6217528736
"420","11385",13395.8036271401
"421","11385.0",18085.5612417588
"422","11411",20664.9595723014
"423","11411.0",29203.8515883978
"424","11412",17560.1279301075
"425","11412.0",30220.2220090293
"426","11413",17172.4464746346
"427","11413.0",30923.5926140758
"428","11414",20054.4043546182
"429","11414.0",68984.551744186
"430","11415",15298.6835583052
"431","11415.0",36823.6976370035
"432","11416",18119.2894989918
"433","11416.0",33535.3853426396
"434","11417",17150.7827777778
"435","11417.0",35933.5945014399
"436","11418",18253.3253720693
"437","11418.0",40781.6357781283
"438","11419",22320.1442421518
"439","11419.0",38661.4706257182
"440","11420",23106.726252302
"441","11420.0",44453.9717978545
"442","11421",14738.0280865948
"443","11421.0",22484.0087740113
"444","11422",14967.1688576779
"445","11422.0",23203.1212840467
"446","11423",17131.8382599084
"447","11423.0",26041.1305816686
"448","11426",30449.3842736248
"449","11426.0",29545.5151074151
"450","11427",20833.6106282723
"451","11427.0",29971.4811032864
"452","11428",23201.2873639306
"453","11428.0",24571.8184668285
"454","11429",17690.3104606308
"455","11429.0",27879.5735144312
"456","11430",3727.91238095238
"457","11430.0",6753.87342342342
"458","11432",20318.4341585258
"459","11432.0",35842.1556450839
"460","11433",19585.7942911031
"461","11433.0",28916.0236431132
"462","11434",16141.9463708946
"463","11434.0",30873.2538369305
"464","11435",20436.387169347
"465","11435.0",27298.915122937
"466","11436",19751.0135866865
"467","11436.0",30329.6188717949
"468","11451.0",1236.38333333333
"469","11509",22166.2
"470","11510",22497.9666666667
"471","11513.0",1447.13333333333
"472","11520",21924.4333333333
"473","11520.0",22366.425
"474","11530",22339.3
"475","11530.0",22386.35
"476","11542",22254.8083333333
"477","11545.0",12493.3416666667
"478","11550",22266.8083333333
"479","11550.0",22396.1166666667
"480","11552",22285.0833333333
"481","11553-1423",22276.2166666667
"482","11553.0",21840.4333333333
"483","11557",22171.7833333333
"484","11559.0",21964.0333333333
"485","11563.0",11926.95
"486","11566",2885.61666666667
"487","11570",22341.5666666667
"488","11570.0",22430.75
"489","11572",11623.6
"490","11575",21711.2833333333
"491","11577",22152.3388888889
